aksCode_URI,Point_URI,brick_PointType,nest_Equipment_URI,Room_URI,opcUaPublic
65NT_MET51_B870_M00,3200000,Outside_Air_Temperature_Sensor,65NT_MET51_B870,Room_401,ns=2;s=Gateway.PLC1.65NT-03032-D001.PLC1.MET51.strMET51Read.strWetterstation.strStation1.lrLufttemperatur
65NT_U30E1_P001_M00,42110000,Electric_Power_Sensor,65NT_U30E1_P001,Room_311,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU30E1_P001.rSumWirkleistung
65NT_U30E1_P001_M01,42110022,Energy_Sensor,65NT_U30E1_P001,Room_311,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU30E1_P001.rSumWirkenergie
65NT_U30N2_P890_M01,42110267,Energy_Sensor,65NT_U30N2_P890,Room_394,OPC_UA.BeckhoffGateway.65NT-06422-D001.PLC1.Units.str3T0.strRead.strSensoren.strU30N2.strP890.rEnergie
65NT_U30N2_P890_M00,42110270,Thermal_Power_Sensor,65NT_U30N2_P890,Room_394,OPC_UA.BeckhoffGateway.65NT-06422-D001.PLC1.Units.str3T0.strRead.strSensoren.strU30N2.strP890.rLeistung
65NT_U30N1_P890_M01,42110276,Energy_Sensor,65NT_U30N1_P890,Room_394,OPC_UA.BeckhoffGateway.65NT-06422-D001.PLC1.Units.str3T0.strRead.strSensoren.strU30N1.strP890.rEnergie
65NT_U30N1_P890_M00,42110279,Thermal_Power_Sensor,65NT_U30N1_P890,Room_394,OPC_UA.BeckhoffGateway.65NT-06422-D001.PLC1.Units.str3T0.strRead.strSensoren.strU30N1.strP890.rLeistung
65NT_U30M1_P890_M01,42110286,Energy_Sensor,65NT_U30M1_P890,Room_394,OPC_UA.BeckhoffGateway.65NT-06422-D001.PLC1.Units.str3T0.strRead.strSensoren.strU30M1.strP890.rEnergie
65NT_U30M1_P890_M00,42110289,Thermal_Power_Sensor,65NT_U30M1_P890,Room_394,OPC_UA.BeckhoffGateway.65NT-06422-D001.PLC1.Units.str3T0.strRead.strSensoren.strU30M1.strP890.rLeistung
65NT_U30M2_P890_M01,42110297,Energy_Sensor,65NT_U30M2_P890,Room_394,OPC_UA.BeckhoffGateway.65NT-06422-D001.PLC1.Units.str3T0.strRead.strSensoren.strU30M2.strP890.rEnergie
65NT_U30M2_P890_M00,42110300,Thermal_Power_Sensor,65NT_U30M2_P890,Room_394,OPC_UA.BeckhoffGateway.65NT-06422-D001.PLC1.Units.str3T0.strRead.strSensoren.strU30M2.strP890.rLeistung
65NT_U23E1_P001_M00,42120000,Electric_Power_Sensor,65NT_U23E1_P001,Room_221,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU23E1_P001.rSumWirkleistung
65NT_U23E1_P001_M01,42120022,Energy_Sensor,65NT_U23E1_P001,Room_221,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU23E1_P001.rSumWirkenergie
65NT_U36E1_P001_M00,42130000,Electric_Power_Sensor,65NT_U36E1_P001,Room_306,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU36E1_P001.rSumWirkleistung
65NT_U36E1_P001_M01,42130022,Energy_Sensor,65NT_U36E1_P001,Room_306,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU36E1_P001.rSumWirkenergie
65NT_U20H1_P890_M00,42150262,Thermal_Power_Sensor,65NT_U20H1_P890,Room_271,OPC_UA.BeckhoffGateway.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strH1.strP890.rValue1
65NT_U20H1_P890_M01,42150263,Energy_Sensor,65NT_U20H1_P890,Room_271,OPC_UA.BeckhoffGateway.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strH1.strP890.rValue2
65NT_U20E1_P001_M00,42150423,Electric_Power_Sensor,65NT_U20E1_P001,Room_211,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU20E1_P001.rSumWirkleistung
65NT_U20E1_P001_M01,42150445,Energy_Sensor,65NT_U20E1_P001,Room_211,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU20E1_P001.rSumWirkenergie
65NT_NTM31_P890_M01,42150450,Energy_Sensor,65NT_NTM31_P890,Room_211,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str2T0.strRead.strAktoren.strNTM31.strY760.diEnergieKuehlung
65NT_NTM31_P890_M00,42150459,Thermal_Power_Sensor,65NT_NTM31_P890,Room_211,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str2T0.strRead.strAktoren.strNTM31.strY760.rLeistung
65NT_MTM31_P890_M02,42150469,Energy_Sensor,65NT_MTM31_P890,Room_211,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str2T0.strRead.strAktoren.strMTM31.strY760.diEnergieHeizen
65NT_MTM31_P890_M00,42150477,Thermal_Power_Sensor,65NT_MTM31_P890,Room_211,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str2T0.strRead.strAktoren.strMTM31.strY760.rLeistung
65NT_U25H1_P890_M01,42160047,Energy_Sensor,65NT_U25H1_P890,Room_234,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str2T5.strRead.strSensoren.strH1.strP890.rValue3
65NT_U25H1_P890_M00,42160048,Thermal_Power_Sensor,65NT_U25H1_P890,Room_234,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str2T5.strRead.strSensoren.strH1.strP890.rValue1
65NT_U25M1_P890_M00,42160122,Thermal_Power_Sensor,65NT_U25M1_P890,Room_234,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str2T5.strRead.strSensoren.strM1.strP890.rValue1
65NT_U25M1_P890_M01,42160123,Energy_Sensor,65NT_U25M1_P890,Room_234,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str2T5.strRead.strSensoren.strM1.strP890.rValue2
65NT_U25N1_P890_M00,42160203,Thermal_Power_Sensor,65NT_U25N1_P890,Room_234,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str2T5.strRead.strSensoren.strN1.strP890.rValue1
65NT_U25N1_P890_M02,42160204,Energy_Sensor,65NT_U25N1_P890,Room_234,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str2T5.strRead.strSensoren.strN1.strP890.rValue3
65NT_U25E1_P001_M00,42160255,Electric_Power_Sensor,65NT_U25E1_P001,Room_211,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU25E1_P001.rSumWirkleistung
65NT_U25E1_P001_M01,42160277,Energy_Sensor,65NT_U25E1_P001,Room_211,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU25E1_P001.rSumWirkenergie
65NT_MTM44_P890_M00,42190125,Thermal_Power_Sensor,65NT_MTM44_P890,Room_311,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str3T3.strRead.strAktoren.strMTM44.strY760.rLeistung
65NT_MTM44_P890_M01,42190126,Energy_Sensor,65NT_MTM44_P890,Room_311,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str3T3.strRead.strAktoren.strMTM44.strY760.diEnergieHeizen
65NT_NTM44_P890_M00,42190132,Thermal_Power_Sensor,65NT_NTM44_P890,Room_311,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str3T3.strRead.strAktoren.strNTM44.strY760.rLeistung
65NT_NTM44_P890_M01,42190133,Energy_Sensor,65NT_NTM44_P890,Room_311,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str3T3.strRead.strAktoren.strNTM44.strY760.diEnergieKuehlung
65NT_U33E1_P001_M00,42190139,Electric_Power_Sensor,65NT_U33E1_P001,Room_311,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU33E1_P001.rSumWirkleistung
65NT_U33E1_P001_M01,42190140,Energy_Sensor,65NT_U33E1_P001,Room_311,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU33E1_P001.rSumWirkenergie
65NT_MTM23_P890_M01,401180197,Energy_Sensor,65NT_MTM23_P890,Room_121,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strMTM23.diEnergieHeizen
65NT_MTM23_P890_M00,401180211,Thermal_Power_Sensor,65NT_MTM23_P890,Room_121,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strMTM23.rLeistung
65NT_MTM24_P890_M01,401180228,Energy_Sensor,65NT_MTM24_P890,Room_121,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strMTM24.diEnergieHeizen
65NT_MTM24_P890_M00,401180243,Thermal_Power_Sensor,65NT_MTM24_P890,Room_121,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strMTM24.rLeistung
65NT_NTM23_P890_M01,401180260,Energy_Sensor,65NT_NTM23_P890,Room_121,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strNTM23.diEnergieKuehlung
65NT_NTM23_P890_M00,401180275,Thermal_Power_Sensor,65NT_NTM23_P890,Room_121,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strNTM23.rLeistung
65NT_NTM24_P890_M01,401180292,Energy_Sensor,65NT_NTM24_P890,Room_121,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strNTM24.diEnergieKuehlung
65NT_NTM24_P890_M00,401180307,Thermal_Power_Sensor,65NT_NTM24_P890,Room_121,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strNTM24.rLeistung
65NT_HTM34_P890_M01,401180324,Energy_Sensor,65NT_HTM34_P890,Room_221,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strHTM34.diEnergieKuehlung
65NT_HTM34_P890_M00,401180339,Thermal_Power_Sensor,65NT_HTM34_P890,Room_221,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strHTM34.rLeistung
65NT_MTM34_P890_M01,401180357,Energy_Sensor,65NT_MTM34_P890,Room_221,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strMTM34.diEnergieHeizen
65NT_MTM34_P890_M00,401180371,Thermal_Power_Sensor,65NT_MTM34_P890,Room_221,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strMTM34.rLeistung
65NT_NTM34_P890_M01,401180388,Energy_Sensor,65NT_NTM34_P890,Room_221,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strNTM34.diEnergieKuehlung
65NT_NTM34_P890_M00,401180403,Thermal_Power_Sensor,65NT_NTM34_P890,Room_221,OPC_UA.BeckhoffGateway.65NT-03007-D001.PLC1.Unit.strRead.strNTM34.rLeistung
65NT_U12M1_P890_M01,421130020,Energy_Sensor,65NT_U12M1_P890,Room_150,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str1T2.strRead.strSensoren.strM1.strP890.rValue2
65NT_U12M1_P890_M00,421130021,Thermal_Power_Sensor,65NT_U12M1_P890,Room_150,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str1T2.strRead.strSensoren.strM1.strP890.rValue1
65NT_U12M2_P890_M01,421130023,Energy_Sensor,65NT_U12M2_P890,Room_140,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str1T2.strRead.strSensoren.strM2.strP890.rValue2
65NT_U12M2_P890_M00,421130024,Thermal_Power_Sensor,65NT_U12M2_P890,Room_140,OPC_UA.BeckhoffGateway.65NT-06421-D001.PLC1.Units.str1T2.strRead.strSensoren.strM2.strP890.rValue1
65NT_U10N1_P890_M01,421140010,Energy_Sensor,65NT_U10N1_P890,Room_180,OPC_UA.BeckhoffGateway.65NT-71101-D001.PLC1.Units.str1T0.strRead.strAktoren.strN1.strY710.diEnergieKuehlung
65NT_U10N1_Y710_M00,421140009,Thermal_Power_Sensor,65NT_U10N1_Y710,Room_180,OPC_UA.BeckhoffGateway.65NT-71101-D001.PLC1.Units.str1T0.strRead.strAktoren.strN1.strY710.rLeistung
65NT_U10M1_P890_M00,421140044,Thermal_Power_Sensor,65NT_U10M1_P890,Room_180,OPC_UA.BeckhoffGateway.65NT-71101-D001.PLC1.Units.str1T0.strRead.strAktoren.strM1.strY710.rLeistung
65NT_U10M1_P890_M01,421140045,Energy_Sensor,65NT_U10M1_P890,Room_180,OPC_UA.BeckhoffGateway.65NT-71101-D001.PLC1.Units.str1T0.strRead.strAktoren.strM1.strY710.diEnergieHeizen
65NT_U10E1_P001_M00,421140529,Electric_Power_Sensor,65NT_U10E1_P001,Room_210,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU10E1_P001.rSumWirkleistung
65NT_U10E1_P001_M01,421140530,Energy_Sensor,65NT_U10E1_P001,Room_210,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU10E1_P001.rSumWirkenergie
65NT_U36N1_P890_M00,421170038,Thermal_Power_Sensor,65NT_U36N1_P890,Room_342,OPC_UA.BeckhoffGateway.65NT-71361-D001.PLC1.Units.str3T6.strRead.strAktoren.strN1.strY710.rLeistung
65NT_U36N1_P890_M01,421170039,Energy_Sensor,65NT_U36N1_P890,Room_342,OPC_UA.BeckhoffGateway.65NT-71361-D001.PLC1.Units.str3T6.strRead.strAktoren.strN1.strY710.diEnergieKuehlung
65NT_U36M1_P890_M00,421170083,Thermal_Power_Sensor,65NT_U36M1_P890,Room_342,OPC_UA.BeckhoffGateway.65NT-71361-D001.PLC1.Units.str3T6.strRead.strAktoren.strM1.strY710.rLeistung
65NT_U36M1_P890_M01,421170084,Energy_Sensor,65NT_U36M1_P890,Room_342,OPC_UA.BeckhoffGateway.65NT-71361-D001.PLC1.Units.str3T6.strRead.strAktoren.strM1.strY710.diEnergieHeizen
65NT_U12E1_P001_M00,42140000,Electric_Power_Sensor,65NT_U12E1_P001,Room_121,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU12E1_P001.rSumWirkleistung
65NT_U12E1_P001_M01,42140022,Energy_Sensor,65NT_U12E1_P001,Room_121,OPC_UA.BeckhoffGateway.65NT-06402-D001.PLC1.microgrid.strRead.strEnergiemessung.strU12E1_P001.rSumWirkenergie
